device_id,device_type,data_type,location_type,access_frequency,user_consent,network_security_level,data_sensitivity,encryption_level,retention_period,data_volume,access_pattern,last_audit_days,data_anonymization,data_pseudonymization,data_minimization,purpose_limitation,storage_duration,data_sharing,compliance_status,security_incidents,privacy_impact_assessment,data_protection_officer,risk_level
device_14,actuator,location,private_space,70,True,3,2,3,33,360,regular,6,True,True,True,True,111,none,partially_compliant,1,True,True,2
device_15,actuator,temperature,restricted,3,False,5,5,3,51,489,irregular,51,True,True,True,True,295,internal,compliant,2,True,False,3
device_16,wearable,temperature,private_space,93,True,5,2,3,54,301,burst,13,False,False,False,True,140,none,partially_compliant,0,True,False,2
device_17,gateway,identification,public_space,16,True,1,1,1,12,261,burst,3,True,False,False,True,135,none,compliant,4,True,False,3
device_18,camera,identification,private_space,67,True,4,5,2,142,294,burst,15,True,True,True,False,18,internal,compliant,3,True,False,3
device_19,gateway,humidity,semi_public,35,True,4,5,3,353,602,regular,48,False,False,True,True,347,none,compliant,3,True,True,2
device_20,actuator,location,semi_public,36,True,5,2,3,132,889,burst,75,True,True,True,True,176,none,non_compliant,3,True,True,3
device_21,gateway,humidity,private_space,34,False,2,2,2,30,275,regular,46,True,True,True,False,282,internal,partially_compliant,1,True,False,3
device_22,actuator,temperature,private_space,84,False,2,1,2,255,766,regular,38,False,False,True,False,326,internal,partially_compliant,1,False,True,3
device_23,sensor,pressure,semi_public,56,True,1,4,3,131,174,burst,36,True,False,True,True,353,none,compliant,4,True,False,3
device_24,actuator,humidity,public_space,62,True,2,5,3,26,148,burst,83,True,True,True,True,213,internal,partially_compliant,1,True,True,2
device_25,camera,identification,private_space,37,True,3,5,3,121,737,burst,66,True,False,True,False,319,external,compliant,3,True,True,4
device_26,gateway,humidity,private_space,22,True,4,2,1,279,790,burst,40,False,False,False,True,26,internal,compliant,4,False,True,3
device_27,actuator,pressure,public_space,53,False,1,4,2,143,459,irregular,24,True,False,True,False,12,external,partially_compliant,0,True,False,3
device_28,gateway,temperature,private_space,20,False,3,3,2,1,538,irregular,34,True,False,True,True,51,internal,partially_compliant,3,True,True,3
device_29,gateway,humidity,semi_public,81,True,1,3,3,38,23,regular,17,True,False,True,True,146,internal,partially_compliant,4,True,True,3
device_30,sensor,location,semi_public,6,True,3,3,1,348,847,regular,11,True,True,True,True,147,none,compliant,4,True,True,2
device_31,actuator,health,private_space,57,True,5,5,2,165,866,irregular,25,False,True,True,False,73,none,compliant,1,True,True,3
device_32,actuator,pressure,semi_public,9,True,5,4,2,312,463,burst,4,True,False,True,True,258,internal,compliant,2,True,True,2
device_33,sensor,video,private_space,13,True,5,1,1,340,897,irregular,57,True,False,True,True,65,none,compliant,2,True,True,2
device_34,actuator,identification,private_space,45,True,4,5,1,27,101,burst,8,False,False,True,True,315,internal,compliant,0,True,True,3
device_35,wearable,video,restricted,73,True,4,1,2,313,262,irregular,6,True,True,True,True,69,external,partially_compliant,1,True,True,3
device_36,camera,audio,semi_public,31,False,3,1,1,170,353,burst,28,False,False,False,True,161,internal,partially_compliant,1,False,True,4
device_37,camera,health,semi_public,7,False,5,5,3,335,431,burst,36,True,True,True,True,72,none,partially_compliant,3,True,False,3
device_38,actuator,health,private_space,70,True,3,1,2,93,724,irregular,52,True,False,True,True,347,external,compliant,0,False,True,3
device_39,camera,health,semi_public,80,True,3,2,1,166,154,regular,76,False,False,False,False,19,internal,compliant,1,True,True,3
device_40,sensor,temperature,private_space,8,False,3,2,2,233,136,irregular,88,True,False,False,True,292,none,partially_compliant,0,False,True,3
device_41,camera,pressure,private_space,18,False,4,3,2,275,37,regular,15,True,False,True,False,146,external,compliant,2,False,True,3
device_42,camera,video,private_space,12,False,4,4,3,331,726,regular,39,False,False,True,True,238,none,compliant,1,False,True,3
device_43,wearable,audio,semi_public,54,False,2,2,1,135,317,burst,68,True,False,False,True,285,internal,partially_compliant,1,True,True,4
device_44,gateway,health,semi_public,79,True,1,1,2,212,139,irregular,30,False,True,False,True,119,none,partially_compliant,3,True,True,3
device_45,camera,health,semi_public,33,True,2,5,2,204,31,irregular,26,True,True,False,True,254,internal,compliant,4,True,True,3
device_46,gateway,temperature,private_space,78,True,3,2,2,135,349,irregular,64,True,True,False,True,239,internal,partially_compliant,3,True,True,3
device_47,gateway,identification,restricted,86,False,1,2,2,294,860,irregular,22,True,False,True,True,81,external,non_compliant,0,True,True,4
device_48,sensor,identification,semi_public,3,True,4,5,3,251,731,irregular,76,False,False,True,False,38,internal,compliant,0,True,True,3
device_49,gateway,identification,public_space,43,False,1,5,2,166,786,irregular,17,True,True,False,True,302,internal,compliant,2,False,True,4
device_50,actuator,video,semi_public,36,True,4,3,2,275,137,burst,1,True,True,True,True,87,none,partially_compliant,1,False,True,3
device_51,wearable,health,semi_public,55,True,5,1,3,70,730,regular,47,True,False,False,True,226,internal,non_compliant,3,True,False,3
device_52,sensor,pressure,public_space,86,True,3,2,1,110,262,irregular,34,True,False,False,True,135,none,compliant,2,True,True,2
device_53,sensor,humidity,restricted,97,True,5,1,1,139,933,irregular,38,True,True,True,True,100,external,compliant,0,False,False,2
device_54,camera,audio,public_space,35,True,3,2,2,261,647,irregular,27,False,False,True,True,189,internal,partially_compliant,4,True,False,3
device_55,wearable,identification,private_space,30,True,5,5,3,173,755,burst,10,True,False,True,False,287,external,partially_compliant,1,False,False,4
device_56,sensor,pressure,private_space,24,False,2,4,1,234,847,burst,85,False,True,False,True,116,external,compliant,4,True,True,4
device_57,gateway,location,private_space,92,True,3,4,2,170,717,regular,73,True,False,True,True,282,none,non_compliant,1,True,True,3
device_58,sensor,audio,private_space,16,True,4,4,2,233,767,irregular,87,False,False,False,True,75,internal,partially_compliant,1,False,True,3
device_59,sensor,humidity,private_space,83,False,5,5,1,112,18,irregular,88,True,False,True,True,151,none,non_compliant,1,False,False,3
device_60,sensor,audio,restricted,33,False,1,3,3,2,971,irregular,52,True,True,False,True,115,internal,non_compliant,3,True,True,4
device_61,wearable,video,private_space,85,True,4,5,3,290,661,regular,31,True,True,False,False,105,internal,partially_compliant,1,True,True,3
device_62,wearable,temperature,semi_public,63,True,2,5,3,280,922,burst,51,True,False,True,True,327,none,compliant,3,False,True,3
device_63,wearable,video,private_space,7,True,2,5,3,153,791,regular,12,True,False,False,True,211,internal,compliant,0,True,False,3
device_64,wearable,temperature,semi_public,46,True,1,4,2,243,128,regular,1,True,True,True,True,12,none,compliant,1,True,True,2
device_65,gateway,temperature,semi_public,98,False,4,4,1,25,529,burst,70,False,True,True,True,249,external,non_compliant,1,True,True,3
device_66,sensor,video,semi_public,29,False,3,5,2,33,532,irregular,77,True,True,True,True,8,internal,compliant,3,False,True,3
device_67,sensor,identification,public_space,97,True,2,1,1,283,113,burst,89,False,True,True,True,17,internal,non_compliant,0,False,True,3
device_68,wearable,identification,semi_public,68,False,4,4,2,41,442,regular,7,True,True,True,True,182,external,compliant,0,True,True,3
device_69,camera,pressure,restricted,2,True,4,1,1,247,201,burst,64,True,False,False,True,208,external,compliant,3,True,False,3
device_70,sensor,humidity,private_space,97,True,3,1,3,205,109,irregular,34,True,True,True,False,226,none,compliant,2,True,True,2
device_71,gateway,identification,semi_public,44,True,5,4,3,267,275,irregular,57,True,True,True,True,163,none,compliant,3,True,True,2
device_72,actuator,health,semi_public,29,False,5,3,2,293,310,irregular,44,False,True,True,True,142,internal,compliant,1,True,True,3
device_73,gateway,health,semi_public,8,False,5,1,1,103,863,regular,38,True,True,False,True,233,internal,partially_compliant,2,False,True,3
device_74,sensor,temperature,restricted,10,False,4,1,3,75,821,burst,4,False,True,True,True,209,none,compliant,0,True,True,2
device_75,camera,humidity,restricted,24,True,3,1,1,33,872,burst,60,True,True,True,True,87,internal,non_compliant,4,False,False,3
device_76,wearable,health,semi_public,33,True,5,3,1,259,320,regular,33,True,True,True,False,203,internal,non_compliant,2,True,False,3
device_77,camera,location,semi_public,99,True,2,3,3,76,880,regular,66,False,True,True,False,127,internal,compliant,3,True,True,3
device_78,camera,audio,restricted,39,True,1,4,3,277,774,regular,29,False,False,True,True,28,internal,compliant,0,False,True,3
device_79,camera,pressure,restricted,36,False,5,1,2,233,360,irregular,88,False,False,False,True,244,none,compliant,1,True,True,3
device_80,gateway,humidity,public_space,88,True,5,3,3,166,418,regular,31,False,False,True,True,54,internal,partially_compliant,0,True,True,2
device_81,wearable,temperature,private_space,89,False,5,3,2,157,441,burst,3,False,True,False,True,102,internal,non_compliant,4,True,True,4
device_82,gateway,audio,semi_public,12,False,1,2,2,132,898,burst,24,True,False,True,True,348,none,partially_compliant,0,True,True,3
device_83,camera,temperature,public_space,38,False,4,4,3,307,746,burst,4,True,True,False,True,304,none,compliant,3,True,True,3
device_84,gateway,health,restricted,42,False,3,4,2,144,498,regular,25,True,True,False,True,331,internal,partially_compliant,2,False,True,4
device_85,sensor,identification,public_space,66,True,4,1,3,281,317,regular,57,False,True,True,True,186,external,partially_compliant,2,True,False,3
device_86,actuator,humidity,semi_public,48,True,4,1,1,239,481,irregular,40,True,False,True,False,40,none,compliant,3,False,False,3
device_87,sensor,location,semi_public,49,True,4,3,2,61,124,burst,17,True,True,True,True,325,none,partially_compliant,0,True,True,2
device_88,gateway,health,private_space,11,False,3,5,2,166,746,regular,71,True,False,True,True,68,internal,compliant,3,True,True,3
device_89,sensor,identification,restricted,52,False,1,2,3,45,554,burst,85,False,False,False,True,293,internal,partially_compliant,4,True,True,4
device_90,wearable,audio,restricted,11,True,2,5,2,308,533,regular,28,True,True,True,True,109,internal,partially_compliant,2,True,True,3
device_91,camera,video,public_space,93,True,3,5,1,154,933,burst,42,True,True,True,True,138,none,compliant,3,True,True,3
device_92,sensor,audio,restricted,41,True,2,3,1,208,443,burst,85,True,False,True,True,224,none,compliant,1,True,True,3
device_93,gateway,temperature,private_space,67,True,3,4,1,126,530,regular,51,False,True,False,True,47,internal,partially_compliant,3,True,True,3
device_94,sensor,pressure,private_space,15,True,3,1,2,189,756,regular,39,True,True,True,False,233,internal,partially_compliant,1,True,True,2
device_95,sensor,pressure,private_space,30,True,5,4,3,57,41,irregular,43,True,False,True,True,102,internal,partially_compliant,0,True,False,2
device_96,wearable,audio,private_space,9,True,3,5,1,153,475,burst,8,True,False,True,True,64,internal,compliant,4,True,False,4
device_97,camera,audio,semi_public,61,True,4,1,1,318,891,burst,36,False,True,False,False,243,none,partially_compliant,0,True,True,3
device_98,wearable,pressure,semi_public,91,True,5,4,2,148,383,burst,60,True,False,False,True,326,internal,partially_compliant,3,True,True,3
device_99,gateway,audio,semi_public,80,True,3,1,2,269,897,regular,82,True,True,True,False,259,none,compliant,3,True,True,2
device_100,gateway,temperature,semi_public,10,False,3,5,3,135,208,burst,79,True,False,True,True,9,none,compliant,3,False,True,3
device_101,actuator,audio,public_space,45,False,3,5,3,60,150,irregular,79,True,False,False,True,261,internal,partially_compliant,0,True,True,3
device_102,gateway,humidity,restricted,87,True,4,3,3,291,808,regular,31,True,False,True,True,198,none,compliant,0,False,True,2
device_103,camera,humidity,public_space,30,True,2,3,2,217,880,irregular,40,True,True,True,True,176,internal,partially_compliant,1,True,True,2
device_104,gateway,video,public_space,64,True,5,1,1,190,382,burst,41,False,True,True,True,75,internal,partially_compliant,0,True,True,3
device_105,sensor,health,restricted,94,True,5,4,3,16,472,burst,18,True,True,True,True,352,internal,compliant,2,True,True,2
device_106,actuator,pressure,private_space,76,False,2,1,1,233,927,regular,71,False,True,True,True,323,internal,compliant,3,True,False,3
device_107,gateway,audio,public_space,78,True,5,2,2,350,599,regular,37,False,False,True,True,44,external,compliant,1,True,True,3
device_108,gateway,humidity,restricted,98,True,3,5,3,185,23,regular,80,True,False,True,False,237,none,compliant,3,True,True,3
device_109,sensor,location,private_space,33,True,2,3,3,142,30,regular,24,True,False,True,False,267,none,compliant,4,False,True,3
device_110,camera,video,semi_public,5,True,2,3,1,135,763,irregular,45,False,True,True,True,331,none,compliant,3,False,False,4
device_111,actuator,pressure,restricted,8,True,5,5,3,87,21,regular,44,True,False,True,True,319,internal,compliant,3,False,False,3
device_112,sensor,temperature,restricted,22,False,5,3,1,257,441,regular,69,True,False,True,True,243,none,partially_compliant,1,False,True,2
device_113,sensor,pressure,private_space,74,False,4,1,3,224,965,regular,2,False,False,True,True,220,none,non_compliant,3,True,True,2
device_114,gateway,humidity,private_space,54,True,5,1,3,242,136,regular,47,False,False,True,True,301,none,compliant,1,False,True,2
device_115,sensor,video,semi_public,57,False,4,5,2,159,370,burst,81,False,True,False,True,51,none,partially_compliant,3,False,True,4
device_116,wearable,temperature,private_space,48,False,2,4,1,185,190,burst,85,False,True,True,True,283,none,compliant,0,True,True,3
device_117,sensor,video,private_space,19,False,2,3,1,8,167,regular,88,True,True,False,False,218,internal,non_compliant,0,True,True,4
device_118,actuator,location,public_space,65,False,2,1,1,237,282,regular,48,True,True,True,False,222,external,compliant,4,True,True,3
device_119,actuator,pressure,private_space,25,False,1,1,2,186,688,regular,50,True,True,True,True,265,none,compliant,2,True,True,2
device_120,sensor,temperature,private_space,88,True,1,3,3,120,48,burst,63,True,False,False,True,228,internal,compliant,1,True,True,3
device_121,camera,identification,restricted,68,False,1,3,1,16,884,burst,79,True,False,True,True,250,internal,compliant,4,True,True,4
device_122,actuator,location,private_space,50,True,2,1,2,37,824,burst,34,True,False,True,True,192,internal,compliant,2,True,True,3
device_123,wearable,identification,public_space,32,False,5,3,3,151,88,regular,87,True,False,True,False,294,internal,compliant,2,True,True,3
device_124,sensor,temperature,private_space,1,True,5,4,2,88,614,burst,3,False,True,True,False,40,external,compliant,3,True,True,3
device_125,wearable,identification,restricted,51,True,3,1,2,11,913,irregular,44,True,True,True,True,9,none,compliant,4,True,True,3
device_126,actuator,audio,semi_public,86,True,2,2,2,360,763,burst,37,False,True,True,True,190,external,compliant,3,True,False,3
device_127,sensor,temperature,semi_public,44,True,2,2,1,280,799,regular,19,False,False,True,False,155,none,partially_compliant,1,True,True,2
device_128,camera,humidity,private_space,75,True,5,3,3,364,771,burst,29,False,True,False,True,95,internal,compliant,1,False,True,3
device_129,camera,video,public_space,21,True,3,1,1,290,597,regular,54,True,False,False,True,199,internal,compliant,1,True,True,3
device_130,wearable,location,public_space,25,True,3,5,1,302,783,regular,79,True,False,True,True,3,none,compliant,0,True,True,3
device_131,actuator,video,private_space,84,True,5,5,3,5,826,regular,41,True,False,False,True,243,external,partially_compliant,2,False,True,3
device_132,wearable,temperature,public_space,52,True,1,5,2,115,390,irregular,52,True,False,True,True,196,external,partially_compliant,1,True,False,3
device_133,camera,health,restricted,62,True,5,1,3,225,310,regular,7,True,False,True,True,215,none,compliant,3,False,True,2
device_134,wearable,location,public_space,98,False,2,4,2,132,380,burst,83,False,False,True,False,233,external,partially_compliant,1,False,False,5
device_135,actuator,audio,semi_public,10,True,1,1,3,287,601,irregular,52,True,False,True,False,270,external,compliant,3,False,True,3
device_136,wearable,identification,restricted,20,True,2,4,1,48,615,regular,63,False,False,True,True,227,none,compliant,1,False,True,4
device_137,actuator,identification,restricted,68,True,1,1,2,156,217,irregular,87,False,True,False,True,293,internal,partially_compliant,1,True,True,3
device_138,sensor,video,semi_public,81,True,2,1,1,345,604,burst,27,True,True,True,True,320,none,partially_compliant,4,False,False,3
device_139,wearable,identification,public_space,60,False,5,5,1,168,390,burst,35,True,False,False,True,270,external,compliant,4,True,True,4
device_140,sensor,temperature,public_space,85,True,1,1,1,55,113,irregular,16,True,False,True,True,226,none,compliant,2,True,True,2
device_141,camera,pressure,private_space,73,True,3,1,1,282,937,irregular,25,True,True,True,False,26,none,partially_compliant,0,True,True,2
device_142,sensor,video,private_space,85,True,4,4,1,78,901,irregular,73,False,True,True,True,108,none,partially_compliant,1,True,False,3
device_143,camera,humidity,restricted,36,True,2,4,2,285,970,irregular,55,False,False,True,True,332,none,partially_compliant,0,True,True,3
device_144,wearable,health,public_space,65,False,5,5,3,33,48,irregular,75,True,True,False,True,208,internal,compliant,3,True,True,3
device_145,gateway,video,private_space,88,False,4,2,3,211,615,irregular,65,True,False,True,True,139,none,partially_compliant,2,True,True,3
device_146,gateway,health,public_space,85,False,3,4,1,97,791,regular,21,True,True,True,True,221,none,partially_compliant,1,False,True,3
device_147,sensor,identification,restricted,91,True,2,5,2,308,469,burst,72,True,False,True,True,236,external,compliant,0,True,True,3
device_148,camera,video,private_space,63,False,5,3,1,116,789,burst,79,True,True,True,True,363,none,compliant,2,True,True,3
device_149,sensor,location,semi_public,90,False,3,5,2,167,613,irregular,29,True,False,True,True,291,none,partially_compliant,4,True,False,3
device_150,gateway,identification,restricted,19,True,2,4,2,191,112,regular,29,True,True,True,True,65,internal,partially_compliant,0,True,True,3
device_151,sensor,video,semi_public,20,True,2,4,2,271,99,burst,88,False,True,True,True,206,none,non_compliant,3,True,False,4
device_152,wearable,audio,private_space,29,True,4,4,1,29,251,burst,87,True,True,True,True,85,none,compliant,0,True,True,3
device_153,camera,audio,private_space,67,False,5,2,2,203,614,burst,8,False,True,False,True,160,internal,compliant,4,True,False,3
device_154,wearable,temperature,semi_public,76,True,3,2,3,153,851,burst,73,True,False,False,True,72,external,compliant,0,False,True,3
device_155,actuator,audio,restricted,71,True,5,3,3,250,542,burst,1,False,False,True,True,215,internal,non_compliant,1,True,True,3
device_156,actuator,health,semi_public,27,True,4,4,1,229,975,irregular,12,False,False,True,True,363,internal,compliant,0,False,True,3
device_157,camera,health,restricted,72,True,2,3,3,342,969,regular,14,True,True,True,True,282,external,compliant,0,True,True,3
device_158,sensor,health,restricted,10,True,1,5,3,28,738,burst,33,False,False,True,True,41,none,partially_compliant,0,True,False,3
device_159,gateway,video,private_space,44,False,3,4,2,162,683,burst,8,False,True,True,True,279,none,compliant,4,True,False,4
device_160,actuator,identification,restricted,37,True,3,2,3,350,661,regular,12,True,False,True,False,29,none,compliant,3,True,True,3
device_161,actuator,pressure,semi_public,27,False,5,1,1,247,47,regular,3,True,False,False,True,274,internal,compliant,3,True,True,2
device_162,gateway,temperature,restricted,44,True,4,5,2,106,811,burst,42,False,True,False,True,36,internal,compliant,2,True,False,3
device_163,camera,audio,public_space,54,False,3,1,3,277,95,burst,18,False,False,False,False,317,internal,compliant,4,True,False,4
device_164,camera,pressure,restricted,61,True,1,1,1,201,178,regular,50,False,False,True,True,146,internal,partially_compliant,2,False,True,3
device_165,camera,temperature,private_space,30,False,2,1,1,30,702,burst,72,True,False,True,False,52,internal,compliant,4,True,True,3
device_166,camera,health,public_space,66,False,3,4,2,72,400,burst,9,True,False,True,True,213,external,partially_compliant,1,False,False,4
device_167,wearable,pressure,private_space,41,False,4,5,1,150,388,irregular,55,True,True,True,True,91,internal,compliant,2,True,True,3
device_168,sensor,identification,public_space,82,True,1,5,1,221,385,regular,36,True,True,True,False,350,none,partially_compliant,3,True,True,3
device_169,actuator,audio,restricted,81,True,3,5,1,80,788,irregular,8,True,False,False,True,311,none,partially_compliant,2,False,True,4
device_170,sensor,identification,semi_public,66,False,1,2,3,241,143,regular,48,True,True,False,True,274,none,compliant,0,True,True,2
device_171,actuator,humidity,public_space,67,True,3,2,3,39,841,burst,50,False,True,True,True,139,internal,compliant,2,False,False,3
device_172,actuator,temperature,private_space,79,False,5,2,3,203,717,irregular,58,True,True,True,True,134,none,compliant,2,True,True,2
device_173,gateway,humidity,semi_public,44,True,4,1,3,57,697,burst,70,True,False,True,False,151,external,compliant,2,True,True,2
device_174,wearable,video,private_space,2,False,5,2,3,27,20,burst,57,False,False,True,True,185,none,compliant,1,False,True,3
device_175,actuator,location,restricted,37,False,5,3,1,241,541,burst,49,True,False,True,True,104,internal,non_compliant,0,False,False,4
device_176,camera,pressure,semi_public,80,True,5,5,1,114,396,regular,73,True,False,True,False,329,none,partially_compliant,0,True,True,2
device_177,wearable,identification,private_space,18,True,4,4,3,295,298,burst,71,True,False,True,True,358,internal,compliant,4,False,True,4
device_178,sensor,video,restricted,95,True,4,4,1,331,240,burst,59,True,False,False,False,212,none,compliant,1,True,True,3
device_179,sensor,location,private_space,87,False,5,1,2,285,306,burst,71,False,False,False,True,282,external,partially_compliant,2,False,True,4
device_180,gateway,humidity,private_space,71,True,3,3,2,338,315,burst,55,False,False,True,True,267,none,partially_compliant,1,True,True,3
device_181,gateway,audio,public_space,61,False,3,5,3,152,340,irregular,59,False,True,True,False,97,external,compliant,0,True,True,3
device_182,wearable,video,private_space,15,True,1,2,2,21,975,regular,41,False,False,True,True,361,internal,compliant,1,True,True,3
device_183,camera,audio,restricted,77,True,4,1,1,46,199,irregular,1,True,True,True,True,333,internal,partially_compliant,4,True,True,3
device_184,wearable,identification,restricted,92,True,5,3,3,307,809,regular,80,False,True,False,True,5,external,compliant,3,False,True,4
device_185,wearable,location,semi_public,64,True,1,4,1,56,256,burst,45,False,False,True,True,209,internal,non_compliant,4,True,True,4
device_186,wearable,identification,private_space,1,False,2,2,3,123,225,burst,31,True,False,True,True,184,internal,partially_compliant,4,False,True,4
device_187,camera,identification,restricted,63,True,5,1,3,148,386,burst,87,False,False,True,True,344,none,partially_compliant,3,True,False,3
device_188,camera,video,private_space,93,True,2,3,1,360,338,irregular,85,True,False,True,True,157,none,compliant,4,True,False,3
device_189,sensor,humidity,private_space,31,True,2,1,2,256,105,irregular,55,False,True,False,True,325,none,compliant,1,True,True,2
device_190,wearable,humidity,private_space,23,True,2,1,1,275,401,burst,54,True,True,False,True,268,none,compliant,3,False,False,3
device_191,gateway,humidity,public_space,61,False,5,3,3,207,402,regular,60,True,True,True,True,218,none,compliant,4,True,True,2
device_192,sensor,identification,restricted,95,True,4,1,1,112,667,irregular,7,False,True,False,True,342,none,compliant,3,False,True,3
device_193,wearable,pressure,private_space,70,True,3,3,3,65,659,burst,55,True,False,True,True,328,none,compliant,1,True,False,2
device_194,sensor,pressure,public_space,46,False,4,3,2,233,887,irregular,78,True,True,True,True,289,internal,non_compliant,4,True,True,3
device_195,camera,health,semi_public,89,True,2,2,1,94,385,regular,52,False,True,False,False,237,internal,partially_compliant,0,False,True,4
device_196,actuator,pressure,private_space,25,True,2,4,3,30,661,irregular,84,False,True,True,True,88,none,compliant,3,True,True,3
device_197,wearable,audio,public_space,52,True,3,4,2,178,728,irregular,36,True,False,True,True,364,none,compliant,1,True,True,3
device_198,wearable,audio,private_space,19,False,2,4,2,300,346,burst,23,False,False,False,False,151,internal,compliant,0,False,True,4
device_199,wearable,location,restricted,25,True,5,1,1,3,365,irregular,86,False,True,True,True,3,internal,compliant,3,True,True,3
device_200,actuator,temperature,semi_public,40,False,3,1,3,199,258,regular,21,False,False,True,True,23,none,compliant,4,False,True,2
device_201,gateway,identification,restricted,21,False,5,2,1,2,909,irregular,87,False,False,True,True,297,internal,partially_compliant,4,False,True,4
device_202,wearable,audio,private_space,77,True,5,4,1,267,602,irregular,30,True,False,True,False,169,none,compliant,3,True,True,3
device_203,actuator,humidity,public_space,64,True,5,1,1,249,999,irregular,9,False,False,True,True,254,internal,compliant,2,True,True,2
device_204,camera,video,semi_public,77,False,4,5,1,24,245,irregular,30,True,False,True,True,340,internal,partially_compliant,2,True,True,3
device_205,camera,audio,semi_public,24,True,1,2,3,313,795,irregular,22,True,False,True,True,89,external,compliant,3,True,True,3
device_206,sensor,health,semi_public,11,True,1,2,1,131,327,burst,71,True,False,False,True,30,internal,non_compliant,1,True,False,4
device_207,sensor,humidity,public_space,56,True,5,3,3,80,719,regular,73,False,True,False,True,326,none,compliant,0,False,True,2
device_208,camera,location,restricted,73,True,5,4,2,242,278,regular,41,False,False,True,True,63,internal,partially_compliant,3,False,False,4
device_209,wearable,temperature,public_space,66,False,1,5,2,112,390,irregular,56,False,True,True,True,263,none,non_compliant,0,False,True,4
device_210,wearable,pressure,private_space,41,False,5,4,2,36,679,irregular,9,True,False,True,True,362,none,compliant,2,False,True,3
device_211,camera,video,restricted,27,True,3,2,3,89,74,regular,82,False,False,True,True,116,none,compliant,1,True,True,3
device_212,camera,temperature,semi_public,82,False,3,1,2,263,103,regular,26,True,False,True,True,214,internal,compliant,0,True,True,2
device_213,sensor,humidity,restricted,8,True,4,5,3,207,310,irregular,62,False,True,True,False,325,none,partially_compliant,1,True,True,3
device_214,actuator,audio,private_space,41,True,2,1,1,230,210,regular,26,True,False,True,False,358,internal,partially_compliant,4,True,True,3
device_215,sensor,location,semi_public,96,True,4,4,3,179,826,irregular,43,False,True,True,True,27,internal,partially_compliant,0,True,True,2
device_216,sensor,humidity,semi_public,7,False,3,4,3,338,429,burst,41,True,False,False,True,62,external,compliant,1,True,False,3
device_217,camera,pressure,restricted,66,False,2,4,1,333,457,regular,21,True,False,True,True,194,external,compliant,4,False,True,4
device_218,sensor,humidity,public_space,50,True,2,3,1,6,678,irregular,78,True,False,True,True,257,external,partially_compliant,0,True,True,2
device_219,wearable,location,restricted,46,True,1,5,2,201,468,irregular,78,True,True,True,True,165,none,partially_compliant,0,True,True,3
device_220,gateway,location,public_space,65,True,5,2,2,98,224,regular,5,True,True,False,True,6,internal,non_compliant,0,False,False,3
device_221,sensor,pressure,restricted,43,True,3,3,3,166,174,burst,65,False,True,False,True,123,none,compliant,4,False,True,3
device_222,actuator,identification,restricted,53,True,3,4,1,240,940,burst,22,False,True,True,True,25,internal,compliant,1,True,False,3
device_223,camera,video,private_space,46,True,5,5,1,217,40,regular,46,False,True,False,True,325,internal,compliant,2,True,True,3
device_224,sensor,temperature,private_space,87,True,5,5,2,167,633,regular,49,False,True,True,False,27,none,compliant,4,True,False,3
device_225,sensor,identification,semi_public,68,True,4,3,3,307,978,regular,11,True,False,True,True,156,internal,partially_compliant,2,True,True,2
device_226,actuator,location,semi_public,23,True,5,2,2,280,930,regular,16,False,True,True,True,104,none,partially_compliant,2,True,True,2
device_227,wearable,video,public_space,76,True,4,4,1,358,858,regular,5,True,True,True,True,275,internal,partially_compliant,0,True,True,3
